Field Key                                               | Train      | Val        | Test       | Status    
----------------------------------------------------------------------------------------------------
alignment_tab.count                                     | C          | missing    | C          | CONTEXT   
alignment_tab.value                                     | TC         | missing    | TC         | PARTIAL   
bend_relief.count                                       | C          | C          | missing    | CONTEXT   
bend_relief.value                                       | TC         | TC         | missing    | PARTIAL   
bolt.across_flats                                       | TC         | missing    | TC         | PARTIAL   
bolt.grip_length                                        | TC         | missing    | TC         | PARTIAL   
bolt.nominal_diameter                                   | TC         | missing    | TC         | PARTIAL   
bolt.thread_length                                      | TC         | missing    | TC         | PARTIAL   
chamfer.count                                           | C          | C          | missing    | CONTEXT   
chamfer.value                                           | TC         | TC         | missing    | PARTIAL   
channel.channel_depth                                   | T          | missing    | T          | TARGET    
channel.channel_length                                  | T          | missing    | T          | TARGET    
channel.channel_width                                   | T          | missing    | T          | TARGET    
concentric_bore.base_diameter                           | C          | missing    | missing    | CONTEXT   
concentric_bore.bore_diameter                           | TC         | TC         | TC         | PARTIAL   
concentric_bore.bore_type                               | C          | C          | C          | CONTEXT   
concentric_bore.boss_diameter                           | C          | C          | C          | CONTEXT   
concentric_bore.diameter                                | missing    | missing    | missing    | DROPPED   
concentric_bore.flange_diameter                         | C          | missing    | C          | CONTEXT   
concentric_bore.inner_diameter                          | C          | C          | C          | CONTEXT   
concentric_bore.outer_diameter                          | TC         | TC         | TC         | PARTIAL   
concentric_bore.pcd_reference_diameter                  | C          | C          | C          | CONTEXT   
cope.cope_radius                                        | TC         | missing    | missing    | PARTIAL   
fillet_group.count                                      | missing    | missing    | missing    | DROPPED   
fillet_group.radius                                     | missing    | missing    | missing    | DROPPED   
fitting.across_flats                                    | T          | missing    | missing    | TARGET    
fitting.flange_thickness                                | T          | missing    | missing    | TARGET    
fitting.hex_height                                      | T          | missing    | missing    | TARGET    
fitting.neck_length                                     | T          | missing    | missing    | TARGET    
fitting.taper_length                                    | T          | missing    | missing    | TARGET    
heatsink_core.diameter                                  | T          | missing    | missing    | TARGET    
heatsink_fin.count                                      | TC         | missing    | missing    | PARTIAL   
heatsink_fin.pitch                                      | TC         | missing    | missing    | PARTIAL   
heatsink_fin.thickness                                  | C          | missing    | missing    | CONTEXT   
hex_drive.size                                          | missing    | TC         | missing    | PARTIAL   
hex_head.across_flats                                   | T          | missing    | missing    | TARGET    
hierarchy.nodes                                         | C          | C          | C          | CONTEXT   
hole_group.count                                        | TC         | TC         | TC         | PARTIAL   
hole_group.counterbore_depth                            | TC         | missing    | missing    | PARTIAL   
hole_group.counterbore_diameter                         | TC         | T          | T          | PARTIAL   
hole_group.diameter                                     | TC         | TC         | TC         | PARTIAL   
hole_group.group_type                                   | C          | C          | C          | CONTEXT   
hole_group.offset_x                                     | C          | C          | C          | CONTEXT   
hole_group.offset_y                                     | C          | C          | C          | CONTEXT   
hole_group.pattern_type                                 | C          | C          | C          | CONTEXT   
hole_group.spacing_x                                    | TC         | TC         | TC         | PARTIAL   
hole_group.spacing_y                                    | TC         | TC         | TC         | PARTIAL   
hole_pattern.angular_spacing                            | C          | C          | C          | CONTEXT   
hole_pattern.counterbore_depth                          | C          | missing    | missing    | CONTEXT   
hole_pattern.counterbore_diameter                       | TC         | T          | T          | PARTIAL   
hole_pattern.hole_count                                 | TC         | TC         | TC         | PARTIAL   
hole_pattern.hole_diameter                              | TC         | TC         | TC         | PARTIAL   
hole_pattern.pattern_type                               | C          | C          | C          | CONTEXT   
hole_pattern.pcd                                        | TC         | TC         | TC         | PARTIAL   
keyway.depth                                            | TC         | missing    | TC         | PARTIAL   
keyway.width                                            | T          | missing    | T          | TARGET    
lube_port.diameter                                      | T          | missing    | missing    | TARGET    
o_ring.o_ring_diameter                                  | T          | missing    | missing    | TARGET    
o_ring.o_ring_groove_depth                              | C          | missing    | missing    | CONTEXT   
overall_dimensions.height                               | C          | missing    | C          | CONTEXT   
overall_dimensions.width                                | C          | C          | C          | CONTEXT   
pocket.perimeter_wall                                   | TC         | TC         | TC         | PARTIAL   
pocket.pocket_length                                    | TC         | TC         | TC         | PARTIAL   
pocket.pocket_width                                     | TC         | TC         | TC         | PARTIAL   
port.port_depth                                         | C          | C          | TC         | PARTIAL   
port.port_diameter                                      | TC         | T          | C          | PARTIAL   
port.port_thread                                        | TC         | C          | C          | PARTIAL   
relationship.concentric                                 | missing    | missing    | missing    | DROPPED   
relationship.mirror_symmetry                            | missing    | missing    | missing    | DROPPED   
rib.value                                               | TC         | TC         | TC         | PARTIAL   
screw.drive_size                                        | missing    | TC         | missing    | PARTIAL   
screw.head_diameter                                     | missing    | TC         | missing    | PARTIAL   
screw.length                                            | missing    | TC         | missing    | PARTIAL   
screw.nominal_diameter                                  | missing    | TC         | missing    | PARTIAL   
sheet_metal_bend.angle                                  | missing    | missing    | missing    | DROPPED   
sheet_metal_bend.count                                  | missing    | missing    | missing    | DROPPED   
sheet_metal_bend.radius                                 | missing    | missing    | missing    | DROPPED   
shoulder.shoulder_diameter                              | TC         | missing    | missing    | PARTIAL   
shoulder.shoulder_length                                | TC         | missing    | missing    | PARTIAL   
slot_array.count                                        | C          | missing    | C          | CONTEXT   
slot_array.length                                       | T          | missing    | T          | TARGET    
slot_array.orientation                                  | C          | missing    | C          | CONTEXT   
slot_array.width                                        | T          | missing    | T          | TARGET    
structural_profile.fillet_radius                        | TC         | TC         | missing    | PARTIAL   
structural_profile.flange_thickness                     | TC         | TC         | missing    | PARTIAL   
structural_profile.inner_radius                         | TC         | TC         | missing    | PARTIAL   
structural_profile.outer_radius                         | TC         | TC         | missing    | PARTIAL   
structural_profile.profile_type                         | C          | C          | missing    | CONTEXT   
structural_profile.wall_thickness                       | T          | T          | missing    | TARGET    
structural_profile.web_thickness                        | TC         | TC         | missing    | PARTIAL   
thread.nominal_diameter                                 | T          | T          | T          | TARGET    
thread.pitch                                            | missing    | missing    | missing    | DROPPED   
thread.thread_designation                               | C          | C          | C          | CONTEXT   
thread.thread_length                                    | C          | C          | C          | CONTEXT   
